btw_connectivity1,btw_connectivity2,zyg
1.6040504,1.1477253,1.0
-0.57171756,-0.97266644,1.0
-0.0979192,-0.13195671,1.0
-0.4213428,-1.5468909,1.0
-1.078295,0.80727893,1.0
-0.7998234,-2.2138457,1.0
0.65911967,0.39413613,1.0
3.4106352,0.24295181,1.0
-0.54521465,-0.47803357,1.0
0.75645536,1.6750876,1.0
-1.5690786,-0.22785917,1.0
0.7197794,1.046742,1.0
-0.5934506,0.7729243,1.0
-0.91207093,0.24554388,1.0
0.45018715,-0.04399596,1.0
-0.2707519,0.4162519,1.0
0.274032,0.50496984,1.0
0.38135242,-0.87042075,1.0
0.12033031,1.3409578,1.0
-0.45379576,0.55565673,1.0
-0.48718622,-1.0501076,1.0
0.862708,-0.31493115,1.0
-1.6542792,-0.223635,1.0
1.4087765,1.4661316,1.0
-0.3530683,-0.30047652,1.0
-0.9904613,-1.0281761,1.0
2.3032598,-0.5737944,1.0
-0.62073255,0.26753393,1.0
-1.3395349,-0.85833967,1.0
-0.49800593,1.2697058,1.0
1.1669649,2.047005,1.0
-1.9589697,-0.4626083,1.0
-0.06917212,-1.7575004,1.0
-0.91036904,-0.053955067,1.0
-0.036195964,0.107151076,1.0
0.03799841,0.6005832,1.0
-0.6842012,0.7693068,1.0
0.9637074,-0.4669326,1.0
-0.81635594,-0.36223888,1.0
0.37077984,-0.652815,1.0
1.6411756,0.6031409,1.0
-0.087589756,-0.508882,1.0
1.2370086,1.8658842,1.0
-0.13209634,-1.1309636,1.0
1.9411768,1.1005024,1.0
0.5462073,1.2218901,1.0
0.14764747,-0.39957988,1.0
-0.23248819,0.7940782,1.0
0.93144083,0.29727173,1.0
-0.35125113,0.3061755,1.0
-0.90293247,0.19549783,1.0
-0.47686562,-0.14444362,1.0
-0.30431807,-0.20606475,1.0
0.50114244,1.4367902,1.0
-0.055182047,-0.5596608,1.0
-0.52801865,0.34241405,1.0
-0.73507386,-0.62951,1.0
0.35509336,-0.43724528,1.0
-0.66688657,-0.3863672,1.0
0.41296506,-0.64859086,1.0
-1.5942632,-1.5475823,1.0
-0.9689331,-0.77982825,1.0
-0.34199786,-0.46405587,1.0
0.22144647,2.2557852,1.0
-0.8594759,-1.0114212,1.0
-0.34756976,0.4800775,1.0
-0.47285327,-1.0006115,1.0
1.0511365,0.43580595,1.0
-0.4714714,0.41334447,1.0
-0.11537396,0.59341383,1.0
-1.5942978,-1.3815111,1.0
-0.33432326,-1.0396495,1.0
1.7481622,2.2071538,1.0
-0.015180093,-0.3970109,1.0
0.30406845,-0.28362876,1.0
0.35174266,0.45155263,1.0
1.4576991,1.290137,1.0
-0.9977342,-0.6035912,1.0
0.08134099,1.3315302,1.0
-0.08896477,1.9198011,1.0
-0.49543923,0.48463902,1.0
-1.8983771,0.9137161,1.0
1.2033355,1.7146518,1.0
-1.1402717,0.2815733,1.0
0.07639969,0.1672868,1.0
0.21214725,0.307392,1.0
-0.9233823,-0.05935264,1.0
-0.28826657,0.16013014,1.0
0.1635336,-0.007813804,1.0
0.25683403,0.32228613,1.0
-0.35755557,-1.1476296,1.0
-0.4165343,-1.3737309,1.0
-0.57458264,-0.39699432,1.0
0.043757685,2.1364632,1.0
0.8158948,0.6351982,1.0
2.44458,0.8489102,1.0
-0.6562182,-0.99873614,1.0
-0.36147425,0.087055884,1.0
-0.9772345,-0.78310233,1.0
1.3097023,-0.3620562,1.0
-0.7183961,-1.6206764,1.0
0.6293304,0.66708684,1.0
-2.0131562,-0.35224015,1.0
-0.5571488,-0.55738175,1.0
-0.5341595,-0.78086996,1.0
-0.23799329,-1.4447525,1.0
-1.0875556,-0.9131211,1.0
-1.3821665,0.13550985,1.0
0.66413516,0.61369264,1.0
0.12648796,-0.27678013,1.0
-0.5196502,-0.8242016,1.0
0.31420124,-0.06408832,1.0
-1.1577476,-0.15734848,1.0
1.5693797,-0.8374587,1.0
-0.30969128,-1.5264039,1.0
1.1543202,0.66702366,1.0
-2.0013683,1.9571295,1.0
-0.75096714,-0.6857753,1.0
-0.4718898,-2.583591,1.0
1.5860403,-0.10077315,1.0
1.7346174,-0.6256611,1.0
1.0723642,-0.41997924,1.0
-0.4092338,0.16610277,1.0
1.0250498,1.336869,1.0
-0.44010964,-1.1360122,1.0
-1.2638984,-1.0611842,1.0
0.91956824,-0.22311665,1.0
-0.44487363,-0.34303176,1.0
0.10375109,-0.43740565,1.0
0.9044591,-0.17105168,3.0
-1.738523,-0.64285237,3.0
-0.84418005,-0.53055996,3.0
0.35997224,0.5798342,3.0
0.419987,-1.9098268,3.0
0.53147733,0.30947438,3.0
-0.89426297,-1.1735963,3.0
0.03734699,0.66004807,3.0
-0.79563475,-0.47419867,3.0
0.5084056,0.6936674,3.0
-1.252086,-1.2291675,3.0
0.41078457,-0.23300439,3.0
-0.1252148,0.33681527,3.0
0.11518925,-0.62972975,3.0
-0.44618967,0.32919076,3.0
0.0023685638,-1.0890847,3.0
-0.35398078,0.7064593,3.0
0.120677985,-1.4420198,3.0
0.8016633,1.1160628,3.0
-1.3784797,-0.9312529,3.0
1.1601381,-0.7004057,3.0
-1.6617322,-0.46563604,3.0
1.1534232,-0.017671699,3.0
0.06497594,-0.24058016,3.0
-1.2539374,-0.74262786,3.0
1.2659324,1.9261634,3.0
0.7289585,-0.015809389,3.0
0.3832073,-0.089349836,3.0
0.5958699,0.06684858,3.0
-0.44695854,-0.34152547,3.0
-0.8334337,1.7271146,3.0
0.9321455,-0.99405426,3.0
1.9938545,0.61852884,3.0
1.2900358,1.9645718,3.0
0.55421746,-1.2301131,3.0
0.62043476,1.2661446,3.0
-0.67542297,-0.3745061,3.0
-0.26438367,1.49706,3.0
-0.89775914,1.5960386,3.0
1.2419194,-0.0543217,3.0
0.3502144,2.1225438,3.0
0.23233739,1.3642522,3.0
0.18922321,-0.91048676,3.0
1.0570387,0.86454576,3.0
-1.4135728,0.17272303,3.0
-0.6880081,-0.023330549,3.0
-0.547529,-0.3835878,3.0
-0.80399346,-1.6696018,3.0
-1.4069186,1.0203683,3.0
1.9980102,-1.2285591,3.0
0.24931535,0.17218061,3.0
-2.2365794,-1.23761,3.0
1.9305109,0.19949435,3.0
0.89149266,-1.7830169,3.0
0.2931575,1.8446268,3.0
-0.16925973,1.7403674,3.0
-0.36622515,-1.4047084,3.0
1.7206123,1.2764387,3.0
0.2197213,-0.2820168,3.0
0.78969216,-1.4049748,3.0
2.0822108,1.2009029,3.0
0.37412065,1.168485,3.0
2.9085279,-1.2679284,3.0
0.88679844,2.4777632,3.0
1.1225301,1.0356534,3.0
-2.310271,0.43671793,3.0
-0.0032225344,-0.35423598,3.0
-1.2970911,-1.4620532,3.0
-0.8010033,-0.42587262,3.0
-0.46590278,-0.61209583,3.0
-1.0267049,0.77109396,3.0
0.4619794,-1.2140313,3.0
0.39497706,-0.4450846,3.0
